日期,时段,零点计划购电量 kWh,最终购电量 kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,637.1794182334824,637.1794182334824
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,462.96572527688704,462.96572527688704
2025-03-20,18:00-18:10,739.8847866497994,739.8847866497994
2025-03-20,20:00-20:10,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,203.89045216791266,203.89045216791266
2025-06-21,18:00-18:10,448.66868952605444,448.66868952605444
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,532.4344818728597,532.4344818728597
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,455.7641198875273,455.7641198875273
2025-09-23,18:00-18:10,0.0,0.0
2025-09-23,20:00-20:10,798.2364145025753,798.2364145025753
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,978.0519721438758,978.0519721438758
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,814.1941278389511,814.1941278389511
2025-12-21,18:00-18:10,770.9956183007511,770.9956183007511
2025-12-21,20:00-20:10,0.0,0.0
