日期,时段,购电量 kWh
2025-03-20,0:30-0:40,6.24100713240648
2025-03-20,1:20-1:40,39.60789518690842
2025-03-20,3:20-3:40,46.60186541465396
2025-03-20,5:00-5:20,8.933053685119646
2025-03-20,8:20-8:30,2.888369654814028
2025-03-20,12:40-12:50,3.4613739557742065
2025-03-20,15:40-16:30,177.69523465246908
2025-03-20,18:50-19:20,58.75587211743823
2025-03-20,20:00-20:20,17.606561073433227
2025-03-20,21:20-21:40,21.63646245077291
2025-03-20,23:40-24:00,28.79601822718473
2025-06-21,1:30-1:40,3.427059835671571
2025-06-21,3:00-3:10,10.254736037553187
2025-06-21,6:10-6:20,10.295650784668624
2025-06-21,19:10-19:20,16.731576822631155
2025-09-23,0:40-1:30,113.13939945059212
2025-09-23,2:10-2:40,61.93286429092484
2025-09-23,3:30-3:40,8.987563651287132
2025-09-23,3:50-4:10,3.6906025995597247
2025-09-23,5:00-5:20,45.85530553047863
2025-09-23,5:50-6:00,12.694823176705086
2025-09-23,6:20-6:40,29.298249527843268
2025-09-23,7:10-7:20,10.819599939124942
2025-09-23,9:50-10:00,0.011076064615508585
2025-09-23,10:10-10:20,3.388966666666647
2025-09-23,11:00-11:10,7.056797981279715
2025-09-23,14:40-15:20,232.32846371315236
2025-09-23,16:00-17:00,221.67661966321816
2025-09-23,17:10-17:30,31.102985862090605
2025-09-23,17:40-18:00,32.65262594656899
2025-09-23,18:10-19:40,198.88186628901929
2025-09-23,20:00-20:40,157.4676370796068
2025-09-23,21:00-21:50,197.40544053217002
2025-09-23,22:00-22:10,13.296419408974089
2025-09-23,22:30-22:40,76.22518581773147
2025-09-23,23:30-23:50,33.88948961007236
2025-12-21,1:20-1:30,15.554387667470905
2025-12-21,2:20-2:30,3.9406729203171835
2025-12-21,3:10-3:20,1.792493748019865
2025-12-21,3:40-4:00,62.92831332890614
2025-12-21,10:50-11:40,229.6265272616821
2025-12-21,15:30-15:40,8.784777249290244
2025-12-21,18:50-19:10,18.436137771166102
2025-12-21,20:00-20:10,33.34581992581104
2025-12-21,23:00-23:10,4.777505497969059
