日期,时段,充电量 kWh,放电量 kWh
2025-03-20,0:00-4:00,833.3333333333334,0.0
2025-03-20,4:00-8:00,833.3333333333334,5381.847574305947
2025-03-20,8:00-12:00,5084.328456079101,3771.9677039601943
2025-03-20,12:00-16:00,5966.484490180304,472.34320820397477
2025-03-20,16:00-20:00,0.0,6692.5402462263555
2025-03-20,20:00-24:00,9833.333333333334,1947.4597537736427
2025-06-21,0:00-4:00,833.3333333333334,3533.7202832816024
2025-06-21,4:00-8:00,833.3333333333334,2432.73376881176
2025-06-21,8:00-12:00,4579.082651987428,61.151182013100026
2025-06-21,12:00-16:00,2052.357485500578,18.861277258823883
2025-06-21,16:00-20:00,0.0,5214.763237424619
2025-06-21,20:00-24:00,10000.0,3425.2367625753795
2025-09-23,0:00-4:00,1619.2862401556804,636.6218545261014
2025-09-23,4:00-8:00,0.0,4939.902628483369
2025-09-23,8:00-12:00,5280.32014054072,3700.0973715166297
2025-09-23,12:00-16:00,5797.294915552504,332.8681954355111
2025-09-23,16:00-20:00,0.0,7041.297550853125
2025-09-23,20:00-24:00,9833.333333333334,1598.7024491468756
2025-12-21,0:00-4:00,666.6666666666666,0.0
2025-12-21,4:00-8:00,1666.6666666666667,1350.0
2025-12-21,8:00-12:00,5000.0,8640.000000000002
2025-12-21,12:00-16:00,9137.908541242796,2811.7059184066657
2025-12-21,16:00-20:00,0.0,4835.881105075665
2025-12-21,20:00-24:00,9833.333333333334,3804.1188949243347
