日期,时段,充电量 kWh,放电量 kWh
2025-03-20,0:00-4:00,837.2903437147277,0.0
2025-03-20,4:00-8:00,769.2318517935246,5619.139276475267
2025-03-20,8:00-12:00,4946.236119527478,3473.6193638178956
2025-03-20,12:00-16:00,6058.731056915658,462.5291402059364
2025-03-20,16:00-20:00,57.86647659923613,6714.520284100145
2025-03-20,20:00-24:00,9832.892989600585,1970.5569914184714
2025-06-21,0:00-4:00,833.3333333333334,7097.730892379317
2025-06-21,4:00-8:00,833.3333333333334,2217.2691076206847
2025-06-21,8:00-12:00,5416.348817627575,0.0
2025-06-21,12:00-16:00,5250.317849039089,91.27235698019922
2025-06-21,16:00-20:00,112.68192219777734,5244.036815756877
2025-06-21,20:00-24:00,9976.370895267815,3404.2513134649494
2025-09-23,0:00-4:00,1621.7839944851444,636.6218545261014
2025-09-23,4:00-8:00,0.0,5626.371584242643
2025-09-23,8:00-12:00,5186.552924266135,3019.4130635768943
2025-09-23,12:00-16:00,5927.823363049016,360.1084098025366
2025-09-23,16:00-20:00,39.05696899588766,7069.745657221792
2025-09-23,20:00-24:00,9847.920276331606,1634.226372278134
2025-12-21,0:00-4:00,664.8798862324717,0.0
2025-12-21,4:00-8:00,1621.7292971115598,1519.0703331657917
2025-12-21,8:00-12:00,5032.300068706416,8411.852568689654
2025-12-21,12:00-16:00,8925.63705078799,2726.3524047162355
2025-12-21,16:00-20:00,83.16541581714819,4888.0627806696575
2025-12-21,20:00-24:00,9842.058432308826,3797.039195343803
