日期,时段,购电量 kWh
2025-03-20,0:30-0:40,6.24100713240648
2025-03-20,1:20-1:40,39.60789518690842
2025-03-20,3:20-3:40,46.60186541465396
2025-03-20,5:00-5:20,8.933053685119646
2025-03-20,8:20-8:40,47.6294596672883
2025-03-20,9:10-9:30,32.81279260950771
2025-03-20,11:20-11:40,28.006580319693512
2025-03-20,12:50-13:10,55.262449383107196
2025-03-20,13:20-13:30,16.037887963630965
2025-03-20,18:50-19:20,34.687294017637555
2025-03-20,20:10-20:20,12.945719773148085
2025-03-20,21:30-21:40,13.784673725293828
2025-03-20,23:40-24:00,17.810040937034273
2025-06-21,1:30-1:40,3.427059835671571
2025-06-21,3:00-3:10,10.254736037553187
2025-06-21,19:10-19:20,5.31891141067922
2025-09-23,0:40-1:30,113.13939945059212
2025-09-23,2:10-2:40,61.93286429092484
2025-09-23,3:30-3:40,8.987563651287132
2025-09-23,3:50-4:10,3.6906025995597247
2025-09-23,5:00-5:20,45.850642310673834
2025-09-23,5:50-6:00,12.694823176705086
2025-09-23,9:40-10:00,35.19645753696318
2025-09-23,14:00-14:10,38.864513364739196
2025-09-23,14:30-15:00,73.08622827068154
2025-09-23,15:10-15:20,5.224165564783334
2025-09-23,16:00-16:50,116.65308514794917
2025-09-23,17:20-17:30,1.7661358249770558
2025-09-23,17:40-18:00,20.128591430523006
2025-09-23,18:10-19:00,176.5106768578321
2025-09-23,19:20-19:40,31.357886794826413
2025-09-23,20:00-20:50,144.57554925238776
2025-09-23,21:00-21:50,196.34589316980427
2025-09-23,22:00-22:10,13.296419408974089
2025-09-23,22:30-22:40,73.46482285758043
2025-09-23,23:40-23:50,16.53545180681249
2025-12-21,1:20-1:30,15.554387667470905
2025-12-21,2:20-2:30,3.9406729203171835
2025-12-21,3:10-3:20,1.792493748019865
2025-12-21,3:40-4:00,62.92831332890614
2025-12-21,11:10-11:40,136.98167225504005
2025-12-21,17:30-17:40,2.4426419023807284
2025-12-21,19:00-19:10,2.0993610923061397
2025-12-21,19:50-20:10,39.97093851318357
2025-12-21,23:00-23:10,10.301717937955118
