date,hour,source,weight,accepted,keep_objective,adjust_objective,keep_cash,expected_gain,relative_gain,initial_energy_kwh,expected_cash_gain,expected_cvar_gain,terminal_energy_change
2025-01-01,6,Q,1.0,False,18810.22693219962,18810.22693219963,26257.663932199623,-7.275957614183426e-12,-2.770984362116449e-16,10057.495685185186,-7.275957614183426e-12,-5.5005955346132395e-12,0.0
2025-01-01,12,Q,1.0,False,17998.242309385118,17998.242309385118,25445.67930938512,0.0,0.0,6143.792100000002,0.0,3.5700509215530474e-13,0.0
2025-01-02,6,F,0.0,True,59680.275840838985,58028.71681844473,67040.9589206353,1651.5590223942563,0.024635074572089754,10800.0,1564.8051021905703,1735.0784040736107,0.0
2025-01-02,12,A,0.0,True,39102.39040784506,36765.10911455508,46409.03823265332,2337.281293289976,0.05036263155407234,5728.808533703705,2196.492118098242,2815.783503834708,0.0
2025-01-03,6,A,0.01,True,59073.50949292785,56593.69393234967,66309.55696041083,2479.8155605781794,0.03739755887765496,10800.0,2268.4260280611634,4227.79065034027,0.0
2025-01-03,12,A,0.0,True,36786.03641821245,36218.73955598806,44223.36815421161,567.2968622243861,0.012827988592957492,6580.584450000002,557.1915982235514,202.10528001666492,0.0
2025-01-04,6,A,0.02,True,46201.93855311691,44658.90741235916,53386.72161278017,1543.0311407577465,0.028902901211082466,10800.0,1280.3772004210114,5253.078806734721,0.0
2025-01-04,12,A,0.0,True,29404.220016819396,29192.9939539525,36826.30988927537,211.22606286689552,0.005735737941216021,5471.685956913576,185.87893532287126,506.94255088055223,0.0
2025-01-05,6,A,0.03,True,38841.67495898394,37854.761865315806,46130.874603852615,986.9130936681322,0.021393765068258866,10800.0,832.5432480995878,3087.396911370839,0.0
2025-01-05,12,A,0.0,True,25489.700454053178,25417.64313196487,32933.2699444904,72.05732208830887,0.002187979578394819,6515.156454320988,87.25500411815301,62.8815916555544,-26.598549999998795
2025-01-06,6,A,0.03,True,48558.28064973374,48450.92567071851,54759.09289283929,107.35497901522467,0.001960495934900032,10800.0,87.86446481466555,389.81028401112417,0.0
2025-01-06,12,A,0.0,True,35718.48792336406,34838.41480113022,41951.457219766315,880.0731222338436,0.020978368346622738,5742.690004629632,-60.565772436923,24128.043987246514,-385.4001974999992
2025-01-07,6,A,0.04,True,55314.29712560518,52307.48105444591,61549.621900472746,3006.816071159272,0.04885190157660704,10800.0,2466.231978020085,10811.681862783735,0.0
2025-01-07,12,A,0.0,True,37894.04898642871,36755.33015506365,44843.332712570904,1138.718831365055,0.025393269466919853,6734.70261466049,770.0799038101904,9781.998002883101,-174.6880844999996
2025-01-08,6,A,0.04,False,54216.96109329273,54178.99797531125,61535.34283128285,37.963117981482355,0.0006169319326873559,10800.0,25.272166611321154,253.81902740319583,0.0
2025-01-08,12,F,0.0,False,37363.56546925308,37334.74650979031,44593.89999278921,28.81895946276927,0.0006462533993983319,6450.0,19.815748195847846,180.0642253384467,0.0
2025-01-09,6,A,0.04,True,59105.399778895204,57816.59504331699,66203.1066629676,1288.804735578211,0.019467435903565183,10800.0,1133.042851479302,3115.237681978203,0.0
2025-01-09,12,A,0.0,True,41810.277287473575,41564.481064329186,48366.52678898347,245.79622314438893,0.005081949014382699,6873.845195210775,129.08013457215566,2493.01101626709,-11.506266142858294
2025-01-10,6,A,0.04,True,28618.531974929778,28299.465469301103,35646.91778470268,319.06650562867435,0.00895074596787711,10039.373015873016,234.49736338279763,1691.382844917449,0.0
2025-01-10,12,A,0.0,True,20731.27294938,20470.378249529465,27732.41946353414,260.8946998505344,0.009407570810530596,5426.123461676416,219.8836592635489,820.2208117397358,0.0
2025-01-11,6,A,0.05,True,27171.764980998552,26114.8364125188,33223.11212071392,1056.9285684797505,0.03181305124695941,10027.313756613756,979.1702457401552,1555.1664547917826,0.0
2025-01-11,12,A,0.0,True,17344.925058787398,16541.856812188526,24249.031290630286,803.0682465988721,0.03311753929358712,6963.429483253879,657.4812445603529,2911.74004077041,0.0
2025-01-12,6,A,0.07,True,64953.45782605734,63950.30092865263,71919.92126353111,1003.1568974047113,0.013948247992776773,10800.0,905.5752028986171,1951.6338901218624,0.0
2025-01-12,12,A,0.0,False,42851.34608355304,42851.34608355304,50266.8140987657,0.0,0.0,5679.796490911898,0.0,-3.410605131648481e-13,0.0
2025-01-13,6,F,0.1,True,60093.263042471015,59612.45037712897,66773.84516054291,480.8126653420477,0.007200613716134516,10800.0,463.65857292003057,343.0818484404226,0.0
2025-01-13,12,A,0.0,True,39620.36798341223,39189.57544454421,46741.48363181891,430.79253886802326,0.009216492618449203,6849.700521210725,387.1936034965838,871.9787074287233,0.0
2025-01-14,6,F,0.11,True,60281.50428163533,59991.28590478081,67361.70002547343,290.2183768545219,0.004308358855919213,10800.0,240.2928353761381,998.5108295674581,0.0
2025-01-14,12,F,0.0,False,40649.935470717784,40610.93581555386,47693.23834720235,38.999655163926946,0.0008177187483058516,6595.735396980637,35.03416473944526,79.3098084896692,0.0
2025-01-15,6,F,0.13,True,66669.43300745539,62858.266094805156,72228.3979978848,3811.166912650231,0.05276549138971407,10800.0,3338.3471534524288,9577.353973231311,-8.770500000000538
