date,hour,source,weight,accepted,keep_objective,adjust_objective,keep_cash,expected_gain,relative_gain,initial_energy_kwh
2025-01-01,6,Q,1.0,False,18810.22693219962,18810.22693219962,26257.663932199623,0.0,0.0,10057.495685185186
2025-01-01,12,Q,1.0,False,17998.242309385118,17998.242309385118,25445.67930938512,0.0,0.0,6143.792100000002
2025-01-01,18,Q,1.0,False,8193.020419901668,8193.020419901668,15640.457419901668,0.0,0.0,10800.0
2025-01-02,6,F,0.0,True,59680.275840838985,56289.56569167021,67040.9589206353,3390.710149168779,0.05057669525853267,10800.0
2025-01-02,12,A,0.0,True,39309.40559738228,35726.31991605513,46574.292876655265,3583.085681327153,0.07693269097646625,6622.286563703705
2025-01-02,18,A,0.0,False,10514.767630330001,10514.767630330001,17962.20463033,0.0,0.0,10800.0
2025-01-03,6,A,0.01,True,59073.50949292785,55598.18723731292,66309.55696041083,3475.3222556149267,0.05241057872984761,10800.0
2025-01-03,12,A,0.0,True,36701.43726688585,35638.801369349276,44113.16210791196,1062.6358975365729,0.024088862524456908,6951.650082283952
2025-01-03,18,A,0.0,False,10651.318132602502,10651.318132602502,18098.755132602502,0.0,0.0,10800.0
2025-01-04,6,A,0.02,True,46201.93855311691,43849.30977644388,53386.72161278017,2352.628776673031,0.044067676485866826,10800.0
2025-01-04,12,A,0.0,True,28911.75090233444,28475.29160880566,36305.64601185277,436.4592935287801,0.012021802156785433,6438.555225
2025-01-04,18,A,0.0,False,7835.834281752781,7835.834281752781,15283.27128175278,0.0,0.0,10800.0
2025-01-05,6,A,0.03,True,38841.67495898394,37600.2470017791,46130.874603852615,1241.42795720484,0.026910999799278947,10800.0
2025-01-05,12,A,0.0,True,25366.86329082068,24822.258962859756,32810.4327812579,544.6043279609221,0.01659851095508905,6572.277727685183
2025-01-05,18,A,0.0,False,6587.169297616792,6581.3159302319455,14015.541106024168,5.853367384846933,0.0004176340635418661,10800.0
2025-01-06,6,A,0.03,True,48558.28064973374,47892.42098085391,54759.09289283929,665.859668879828,0.012159800933570629,10800.0
2025-01-06,12,A,0.0,True,35667.42134096576,33875.982542936996,41855.03633713305,1791.4387980287647,0.04280103315641926,6438.27561375
2025-01-06,18,A,0.0,False,11354.595964702625,11346.91119959221,18528.204155775653,7.684765110414446,0.00041476038615533787,10800.0
2025-01-07,6,A,0.04,True,55314.29712560518,52306.17787561146,61549.621900472746,3008.119249993724,0.048873074392852114,10800.0
2025-01-07,12,A,0.0,True,37894.04898642871,36755.33015506365,44843.332712570904,1138.718831365055,0.025393269466919853,6734.70261466049
2025-01-07,18,A,0.0,True,11174.600159971758,10908.124907446281,18492.522813668813,266.4752525254771,0.014409891782234872,10800.0
2025-01-08,6,A,0.04,True,54216.96109329273,51354.02227382806,61535.34283128285,2862.9388194646745,0.046525113662147934,10800.0
2025-01-08,12,F,0.0,True,35557.700263176135,35400.5935255412,42694.54948696155,157.10673763493833,0.0036797844109566495,6450.0
2025-01-08,18,A,0.0,False,10999.396627818884,10987.505679598997,18250.313113357086,11.890948219886923,0.0006515476280340716,10796.691777834198
2025-01-09,6,A,0.04,True,59105.399778895204,57417.842084900905,66203.1066629676,1687.5576939942985,0.025490611831638966,10800.0
2025-01-09,12,A,0.0,True,41837.06317845846,41485.20199626191,48365.759823426975,351.8611821965533,0.007275005778491293,6869.766865210775
2025-01-09,18,A,0.0,False,13685.78235744814,13684.487226130204,20796.005352955526,1.295131317936466,6.227788923666545e-05,10800.0
2025-01-10,6,A,0.04,True,28618.531974929778,26623.87235689455,35646.91778470268,1994.659618035228,0.055956019257609006,10039.373015873016
2025-01-10,12,A,0.0,True,20695.594847683547,19556.750368190857,27595.119145190867,1138.8444794926909,0.041269779394707294,6493.247832499999
2025-01-10,18,A,0.0,False,4694.349494610065,4689.186212326083,11985.71602455172,5.1632822839828805,0.00043078630207876907,10800.0
2025-01-11,6,A,0.05,True,27171.764980998552,26077.85988049653,33223.11212071392,1093.9051005020228,0.0329260274151137,10027.313756613756
2025-01-11,12,A,0.0,True,17341.93849877843,16534.059197887953,24245.922873571824,807.8793008904759,0.03332021243749267,6963.429483253879
2025-01-11,18,A,0.0,True,4508.0672022638755,4488.225914098493,11749.27687802551,19.84128816538214,0.0016887241973581363,10800.0
2025-01-12,6,A,0.07,True,64953.45782605734,63742.83745846406,71919.92126353111,1210.6203675932775,0.0168328933948257,10800.0
2025-01-12,12,A,0.0,True,42415.730060759255,42125.6419495901,49831.198075971915,290.08811116915604,0.0058214155462786975,6034.164835376183
2025-01-12,18,A,0.0,False,13406.391800187108,13405.828431204774,20818.897675366446,0.5633689823334862,2.7060461659316456e-05,10800.0
2025-01-13,6,F,0.1,True,60093.263042471015,59612.45037712897,66773.84516054291,480.8126653420477,0.007200613716134516,10800.0
2025-01-13,12,A,0.0,True,39620.36798341223,39034.611046561826,46741.48363181891,585.7569368504046,0.012531843051119049,6849.700521210725
2025-01-13,18,A,0.0,False,13304.533042623762,13297.511911117317,20502.85225055064,7.0211315064443625,0.00034244657380564194,10800.0
